pid,text_cluster_label,text_cl_mean_pop_train,text_cl_median_pop_train,text_cl_std_pop_train,text_cl_valid_pop_count_train,text_cl_total_items_train,visual_cluster_label,vis_cl_mean_pop_train,vis_cl_median_pop_train,vis_cl_std_pop_train,vis_cl_valid_pop_count_train,vis_cl_total_items_train,user_cluster_label,user_cl_mean_pop_train,user_cl_median_pop_train,user_cl_std_pop_train,user_cl_valid_pop_count_train,user_cl_total_items_train,audio_cluster_label,audio_cl_mean_pop_train,audio_cl_median_pop_train,audio_cl_std_pop_train,audio_cl_valid_pop_count_train,audio_cl_total_items_train
POST00002540,21,7.5170,7.0300,3.3075,27,27,63,7.8236,7.7600,2.6126,14,14,185,8.3200,8.3200,6.1094,2,2,70,8.8468,9.7000,3.0527,28,28
POST00001480,147,8.6213,10.1000,3.3838,23,23,63,7.8236,7.7600,2.6126,14,14,80,7.7191,7.9000,2.7339,92,92,249,7.1400,7.4600,3.1890,19,19
POST00001454,21,7.5170,7.0300,3.3075,27,27,6,6.6538,6.1600,2.1776,13,13,53,7.1493,6.6300,3.0212,56,56,253,8.4570,8.6450,3.1573,20,20
POST00001282,283,8.4515,8.8600,2.0983,20,20,63,7.8236,7.7600,2.6126,14,14,263,8.3815,8.5300,2.6818,41,41,267,10.2350,10.3200,0.9985,4,4
POST00002822,21,7.5170,7.0300,3.3075,27,27,71,8.0353,8.3850,2.7736,38,38,100,8.5990,9.3200,2.6273,10,10,221,9.8296,10.4850,2.4401,24,24
POST00002869,147,8.6213,10.1000,3.3838,23,23,63,7.8236,7.7600,2.6126,14,14,109,8.4648,9.1700,2.4852,27,27,127,8.8096,9.3600,3.1667,23,23
POST00002734,283,8.4515,8.8600,2.0983,20,20,71,8.0353,8.3850,2.7736,38,38,240,7.4738,7.4900,2.9720,177,177,284,8.4144,9.6600,2.7193,16,16
POST00003394,65,9.2143,9.5800,1.8556,21,21,116,9.0123,9.0600,1.7360,13,13,37,7.9380,8.0250,2.8431,208,208,63,8.5790,9.1100,2.1078,29,29
POST00000497,49,6.2660,6.0550,3.5973,10,10,143,8.3795,9.4150,3.5592,20,20,152,7.9479,7.9550,2.2186,66,66,169,8.4896,8.7050,2.4051,24,24
POST00001820,262,8.5438,8.8200,2.6528,24,24,257,6.6107,6.9350,2.9170,14,14,292,8.1544,8.0950,2.6865,126,126,10,7.4537,8.0750,2.8722,30,30
POST00000690,206,7.8857,8.0800,2.5223,23,23,118,6.6090,6.2950,2.9578,10,10,110,6.9240,6.8000,2.6254,5,5,240,6.8064,6.3800,2.9804,25,25
POST00000503,106,8.9987,9.8500,2.8770,15,15,150,8.9213,9.7100,2.6593,15,15,173,7.0037,7.2500,3.2126,551,551,232,8.0850,8.2600,3.0233,30,30
POST00002658,278,7.7786,8.8250,3.2377,14,14,35,8.0510,8.9000,3.3146,31,31,135,6.7740,6.9300,2.4607,117,117,100,7.5808,10.1400,4.5847,12,12
POST00000362,290,8.5688,9.7200,2.8366,17,17,89,3.6533,3.1900,0.9445,3,3,221,7.9183,8.6050,3.2320,6,6,89,8.0492,8.6700,3.2404,25,25
POST00003095,0,10.9650,11.3100,2.0209,10,10,0,9.8451,10.3900,2.8506,35,35,240,7.4738,7.4900,2.9720,177,177,50,7.4831,7.1750,2.6931,16,16
POST00000211,85,8.5469,9.0900,2.9821,16,16,200,10.4778,10.1000,1.4324,9,9,173,7.0037,7.2500,3.2126,551,551,214,7.4340,8.2050,3.1717,10,10
POST00002846,37,8.3614,9.2200,2.9014,7,7,114,8.5113,8.4500,2.2842,23,23,29,8.3200,8.7350,2.5137,30,30,99,8.4500,9.5700,2.4757,7,7
POST00000424,168,9.1113,9.9600,3.0394,16,16,114,8.5113,8.4500,2.2842,23,23,270,10.6950,10.6700,1.4369,10,10,264,8.7885,9.1100,2.2452,20,20
POST00001942,125,8.2800,8.7600,2.6536,17,17,52,8.7471,8.6150,2.4389,14,14,279,10.8562,10.9800,1.8521,29,29,17,8.9421,9.1200,2.0841,28,28
POST00002190,254,5.9018,5.1300,2.9341,11,11,233,7.1621,6.4750,3.1829,42,42,275,7.4142,7.4800,2.8610,59,59,9,8.2082,7.9450,2.8896,22,22
POST00000922,227,8.4856,8.5450,2.8417,36,36,250,7.4950,7.9850,3.1069,10,10,152,7.9479,7.9550,2.2186,66,66,279,7.5788,7.5600,2.5674,17,17
POST00001760,37,8.3614,9.2200,2.9014,7,7,114,8.5113,8.4500,2.2842,23,23,37,7.9380,8.0250,2.8431,208,208,57,9.7932,10.0500,2.2033,25,25
POST00002980,62,6.5255,5.6900,2.8196,11,11,52,8.7471,8.6150,2.4389,14,14,37,7.9380,8.0250,2.8431,208,208,107,8.3921,8.7800,3.0755,19,19
POST00000368,168,9.1113,9.9600,3.0394,16,16,129,8.9062,8.7700,2.8306,13,13,95,10.2050,10.4050,2.1752,4,4,279,7.5788,7.5600,2.5674,17,17
POST00001907,183,8.8425,9.5850,2.6388,32,32,99,8.0739,8.3250,2.7396,38,38,271,8.1550,9.6200,3.6122,8,8,215,9.8180,10.2600,2.6965,10,10
POST00000907,215,10.5290,10.1800,1.2181,10,10,99,8.0739,8.3250,2.7396,38,38,37,7.9380,8.0250,2.8431,208,208,145,7.9111,9.2400,3.4661,27,27
POST00003533,201,10.7742,11.7000,3.0171,12,12,203,9.5767,10.8250,3.6003,12,12,188,9.0603,8.9150,2.3577,34,34,109,8.5409,8.3300,2.9388,11,11
POST00002415,70,9.4667,9.9100,1.6294,9,9,91,9.0378,10.1800,3.0452,68,68,69,8.9951,9.5900,2.6396,59,59,123,9.3179,10.0200,2.7701,28,28
POST00002566,151,10.5778,10.5700,1.7051,9,9,53,11.3864,11.9300,1.6985,11,11,249,9.3200,8.9800,2.4687,7,7,121,8.9357,9.4300,3.4268,14,14
POST00001402,18,8.9796,9.7500,2.2655,23,23,70,9.2457,9.9000,2.5642,40,40,240,7.4738,7.4900,2.9720,177,177,22,7.7262,7.4700,2.5040,47,47
POST00003546,151,10.5778,10.5700,1.7051,9,9,53,11.3864,11.9300,1.6985,11,11,188,9.0603,8.9150,2.3577,34,34,126,8.7757,9.2300,2.8002,23,23
POST00003767,201,10.7742,11.7000,3.0171,12,12,53,11.3864,11.9300,1.6985,11,11,171,8.0868,8.1050,2.9729,22,22,111,7.9978,8.1000,2.6596,18,18
POST00001320,184,9.6974,10.2000,2.6773,23,23,271,8.0100,7.6900,1.8291,21,21,173,7.0037,7.2500,3.2126,551,551,9,8.2082,7.9450,2.8896,22,22
POST00003047,126,9.9580,10.0000,2.3576,15,15,62,9.6300,9.7600,2.5199,10,10,240,7.4738,7.4900,2.9720,177,177,294,8.3933,9.5950,2.5321,6,6
POST00000760,126,9.9580,10.0000,2.3576,15,15,62,9.6300,9.7600,2.5199,10,10,0,10.5390,10.9900,2.0203,63,63,23,7.5660,7.5400,3.2115,15,15
POST00000815,126,9.9580,10.0000,2.3576,15,15,62,9.6300,9.7600,2.5199,10,10,0,10.5390,10.9900,2.0203,63,63,113,8.2536,8.0400,2.9277,11,11
POST00000375,126,9.9580,10.0000,2.3576,15,15,62,9.6300,9.7600,2.5199,10,10,240,7.4738,7.4900,2.9720,177,177,233,9.5062,9.4900,2.4578,8,8
POST00000761,126,9.9580,10.0000,2.3576,15,15,62,9.6300,9.7600,2.5199,10,10,0,10.5390,10.9900,2.0203,63,63,233,9.5062,9.4900,2.4578,8,8
POST00002227,126,9.9580,10.0000,2.3576,15,15,62,9.6300,9.7600,2.5199,10,10,213,7.8750,7.8750,3.4012,2,2,60,7.1211,7.4800,3.0190,27,27
POST00003176,126,9.9580,10.0000,2.3576,15,15,19,11.4875,11.7450,1.5540,8,8,257,9.9573,10.2600,2.2555,22,22,197,8.2164,8.3200,3.9729,11,11
POST00000088,39,6.8407,6.0800,2.6378,15,15,24,9.4243,9.1100,2.9853,7,7,175,8.0062,8.3400,2.9708,73,73,253,8.4570,8.6450,3.1573,20,20
POST00002213,126,9.9580,10.0000,2.3576,15,15,62,9.6300,9.7600,2.5199,10,10,173,7.0037,7.2500,3.2126,551,551,25,8.4212,9.1600,2.7068,33,33
POST00002974,126,9.9580,10.0000,2.3576,15,15,253,8.7900,8.7900,0.0000,1,1,22,8.9594,9.5200,2.6105,68,68,57,9.7932,10.0500,2.2033,25,25
POST00002039,272,7.8222,7.8800,2.7742,9,9,157,8.5102,9.4100,3.1381,41,41,63,8.2053,8.3000,2.4422,19,19,119,8.5646,8.4100,2.3462,13,13
POST00002369,126,9.9580,10.0000,2.3576,15,15,62,9.6300,9.7600,2.5199,10,10,240,7.4738,7.4900,2.9720,177,177,1,7.2329,7.5500,2.5703,7,7
POST00001062,126,9.9580,10.0000,2.3576,15,15,147,8.1338,9.1200,2.8653,13,13,229,10.4674,10.7700,1.9798,35,35,287,8.4527,8.9350,3.0695,22,22
POST00002977,200,8.9670,9.6700,2.4504,30,30,147,8.1338,9.1200,2.8653,13,13,134,10.7857,10.8300,1.4529,7,7,132,7.8786,8.3000,2.5083,14,14
POST00002968,32,9.0006,9.0500,2.9079,31,31,23,9.8413,10.1400,1.3929,16,16,93,8.2100,9.8300,2.9637,9,9,169,8.4896,8.7050,2.4051,24,24
POST00000496,32,9.0006,9.0500,2.9079,31,31,18,9.6679,10.4250,2.6374,38,38,37,7.9380,8.0250,2.8431,208,208,168,9.0394,9.8600,2.6633,17,17
POST00003017,298,8.8500,8.6550,2.1608,24,24,23,9.8413,10.1400,1.3929,16,16,206,8.0871,9.2700,3.6343,7,7,60,7.1211,7.4800,3.0190,27,27
POST00002343,32,9.0006,9.0500,2.9079,31,31,18,9.6679,10.4250,2.6374,38,38,242,7.3911,7.3900,2.4989,19,19,169,8.4896,8.7050,2.4051,24,24
POST00003342,193,5.9172,5.7250,2.9694,18,18,180,8.2882,7.9700,2.8746,11,11,292,8.1544,8.0950,2.6865,126,126,77,7.6969,7.9100,2.7805,13,13
POST00001651,298,8.8500,8.6550,2.1608,24,24,180,8.2882,7.9700,2.8746,11,11,91,8.6459,9.0900,2.4463,22,22,145,7.9111,9.2400,3.4661,27,27
POST00002993,235,9.3900,9.8600,2.8594,11,11,180,8.2882,7.9700,2.8746,11,11,37,7.9380,8.0250,2.8431,208,208,298,8.0667,8.4050,2.9319,24,24
POST00001902,119,9.5870,10.5400,3.2593,23,23,48,7.3611,8.1150,3.5259,36,36,245,7.2367,6.9200,2.7513,18,18,57,9.7932,10.0500,2.2033,25,25
POST00002396,235,9.3900,9.8600,2.8594,11,11,48,7.3611,8.1150,3.5259,36,36,190,6.0057,5.4200,2.9581,14,14,185,8.4869,8.5700,1.7469,13,13
POST00003973,265,9.1191,8.7100,1.2858,11,11,180,8.2882,7.9700,2.8746,11,11,279,10.8562,10.9800,1.8521,29,29,8,9.3393,9.7100,3.0221,15,15
POST00003807,259,9.8082,10.7300,2.5559,11,11,165,10.9957,11.5700,1.9916,28,28,37,7.9380,8.0250,2.8431,208,208,70,8.8468,9.7000,3.0527,28,28
POST00002880,107,9.2600,9.5800,3.4502,5,5,180,8.2882,7.9700,2.8746,11,11,173,7.0037,7.2500,3.2126,551,551,51,7.7885,8.2650,2.4256,34,34
POST00000732,119,9.5870,10.5400,3.2593,23,23,48,7.3611,8.1150,3.5259,36,36,173,7.0037,7.2500,3.2126,551,551,58,7.7825,8.1200,3.0040,4,4
POST00000264,193,5.9172,5.7250,2.9694,18,18,48,7.3611,8.1150,3.5259,36,36,190,6.0057,5.4200,2.9581,14,14,132,7.8786,8.3000,2.5083,14,14
POST00001434,119,9.5870,10.5400,3.2593,23,23,48,7.3611,8.1150,3.5259,36,36,175,8.0062,8.3400,2.9708,73,73,249,7.1400,7.4600,3.1890,19,19
POST00003928,166,7.7680,8.0200,3.6892,25,25,18,9.6679,10.4250,2.6374,38,38,0,10.5390,10.9900,2.0203,63,63,14,8.5878,8.1800,2.7928,9,9
POST00001307,256,8.9155,9.9400,3.7354,11,11,48,7.3611,8.1150,3.5259,36,36,229,10.4674,10.7700,1.9798,35,35,207,7.9282,8.2750,2.6668,28,28
POST00001924,265,9.1191,8.7100,1.2858,11,11,180,8.2882,7.9700,2.8746,11,11,199,7.9763,7.8400,2.2405,46,46,63,8.5790,9.1100,2.1078,29,29
POST00003485,205,6.6800,6.9850,2.2844,16,16,147,8.1338,9.1200,2.8653,13,13,173,7.0037,7.2500,3.2126,551,551,243,8.2475,7.9600,2.6924,16,16
POST00002165,8,9.7177,10.2400,2.7967,30,30,27,8.0423,8.3200,2.9734,13,13,173,7.0037,7.2500,3.2126,551,551,211,6.4920,5.6700,3.2979,10,10
POST00002484,205,6.6800,6.9850,2.2844,16,16,27,8.0423,8.3200,2.9734,13,13,173,7.0037,7.2500,3.2126,551,551,198,7.0100,6.7100,3.1975,5,5
POST00001979,205,6.6800,6.9850,2.2844,16,16,27,8.0423,8.3200,2.9734,13,13,173,7.0037,7.2500,3.2126,551,551,90,7.5163,7.3000,2.8774,8,8
POST00001659,205,6.6800,6.9850,2.2844,16,16,27,8.0423,8.3200,2.9734,13,13,167,7.8588,8.7300,3.0201,74,74,203,5.8627,5.0300,2.5073,11,11
POST00002551,8,9.7177,10.2400,2.7967,30,30,18,9.6679,10.4250,2.6374,38,38,17,7.1664,7.8050,2.8953,14,14,92,9.3417,9.7150,2.7821,12,12
POST00002075,193,5.9172,5.7250,2.9694,18,18,7,9.2722,9.7100,2.4864,27,27,155,10.0731,10.2800,1.9949,49,49,204,8.3570,8.4100,2.4246,23,23
POST00000831,235,9.3900,9.8600,2.8594,11,11,0,9.8451,10.3900,2.8506,35,35,37,7.9380,8.0250,2.8431,208,208,99,8.4500,9.5700,2.4757,7,7
POST00003768,136,10.5260,10.5700,0.4685,5,5,23,9.8413,10.1400,1.3929,16,16,275,7.4142,7.4800,2.8610,59,59,201,9.5778,10.5200,3.3467,9,9
POST00003192,28,8.2454,8.8800,2.8299,24,24,238,10.1876,10.8400,2.9460,17,17,173,7.0037,7.2500,3.2126,551,551,59,7.5960,9.2050,3.1941,10,10
POST00001748,193,5.9172,5.7250,2.9694,18,18,115,7.0516,6.6200,3.5399,25,25,173,7.0037,7.2500,3.2126,551,551,30,8.4257,9.1300,3.3873,14,14
POST00000002,193,5.9172,5.7250,2.9694,18,18,115,7.0516,6.6200,3.5399,25,25,173,7.0037,7.2500,3.2126,551,551,25,8.4212,9.1600,2.7068,33,33
POST00001843,166,7.7680,8.0200,3.6892,25,25,0,9.8451,10.3900,2.8506,35,35,37,7.9380,8.0250,2.8431,208,208,63,8.5790,9.1100,2.1078,29,29
POST00000634,8,9.7177,10.2400,2.7967,30,30,0,9.8451,10.3900,2.8506,35,35,37,7.9380,8.0250,2.8431,208,208,104,9.1060,8.4100,2.2865,15,15
POST00003395,8,9.7177,10.2400,2.7967,30,30,0,9.8451,10.3900,2.8506,35,35,37,7.9380,8.0250,2.8431,208,208,104,9.1060,8.4100,2.2865,15,15
POST00002960,32,9.0006,9.0500,2.9079,31,31,0,9.8451,10.3900,2.8506,35,35,173,7.0037,7.2500,3.2126,551,551,76,6.7719,6.5050,3.1032,16,16
POST00000798,235,9.3900,9.8600,2.8594,11,11,180,8.2882,7.9700,2.8746,11,11,199,7.9763,7.8400,2.2405,46,46,191,8.5394,8.9000,3.1352,35,35
POST00001270,298,8.8500,8.6550,2.1608,24,24,238,10.1876,10.8400,2.9460,17,17,173,7.0037,7.2500,3.2126,551,551,215,9.8180,10.2600,2.6965,10,10
POST00000578,193,5.9172,5.7250,2.9694,18,18,115,7.0516,6.6200,3.5399,25,25,173,7.0037,7.2500,3.2126,551,551,245,7.3700,7.4300,2.9077,7,7
POST00002303,28,8.2454,8.8800,2.8299,24,24,34,8.8973,8.8500,2.1939,11,11,132,10.9475,11.1300,1.0499,4,4,204,8.3570,8.4100,2.4246,23,23
POST00002651,114,8.8006,9.2450,2.5331,16,16,209,9.3079,9.6700,2.3035,19,19,152,7.9479,7.9550,2.2186,66,66,217,9.9853,11.1000,3.1434,17,17
POST00002322,114,8.8006,9.2450,2.5331,16,16,45,9.0205,9.5600,2.4547,57,57,0,10.5390,10.9900,2.0203,63,63,172,7.7414,8.1650,2.6974,14,14
POST00001972,114,8.8006,9.2450,2.5331,16,16,273,9.0521,9.0050,2.1942,14,14,145,9.4965,8.9800,2.1037,23,23,205,6.7839,6.7100,2.6107,18,18
POST00000680,114,8.8006,9.2450,2.5331,16,16,273,9.0521,9.0050,2.1942,14,14,152,7.9479,7.9550,2.2186,66,66,217,9.9853,11.1000,3.1434,17,17
POST00001883,114,8.8006,9.2450,2.5331,16,16,273,9.0521,9.0050,2.1942,14,14,173,7.0037,7.2500,3.2126,551,551,176,8.1603,8.7500,2.8496,33,33
POST00001995,271,8.1318,8.5100,2.5293,11,11,233,7.1621,6.4750,3.1829,42,42,173,7.0037,7.2500,3.2126,551,551,286,8.2765,9.5100,2.5171,23,23
POST00000829,114,8.8006,9.2450,2.5331,16,16,32,9.9000,9.9000,0.5374,2,2,22,8.9594,9.5200,2.6105,68,68,65,9.4033,9.5200,0.2558,3,3
POST00000256,114,8.8006,9.2450,2.5331,16,16,273,9.0521,9.0050,2.1942,14,14,167,7.8588,8.7300,3.0201,74,74,147,7.6523,8.3300,3.3390,26,26
POST00000225,114,8.8006,9.2450,2.5331,16,16,273,9.0521,9.0050,2.1942,14,14,61,9.5475,9.9150,1.7830,4,4,136,9.3900,9.5800,1.7140,4,4
POST00002102,114,8.8006,9.2450,2.5331,16,16,209,9.3079,9.6700,2.3035,19,19,37,7.9380,8.0250,2.8431,208,208,145,7.9111,9.2400,3.4661,27,27
POST00000036,114,8.8006,9.2450,2.5331,16,16,273,9.0521,9.0050,2.1942,14,14,167,7.8588,8.7300,3.0201,74,74,207,7.9282,8.2750,2.6668,28,28
POST00002588,114,8.8006,9.2450,2.5331,16,16,273,9.0521,9.0050,2.1942,14,14,30,10.7155,10.9000,1.4748,33,33,212,8.9991,9.4000,2.7092,11,11
POST00001910,114,8.8006,9.2450,2.5331,16,16,209,9.3079,9.6700,2.3035,19,19,175,8.0062,8.3400,2.9708,73,73,52,8.0744,7.7700,3.1733,16,16
POST00001479,64,10.4364,10.4000,2.6191,14,14,134,9.3180,10.7200,3.6560,15,15,281,9.8050,10.6450,1.8305,4,4,194,8.6586,9.2950,3.3467,14,14
POST00001497,114,8.8006,9.2450,2.5331,16,16,45,9.0205,9.5600,2.4547,57,57,118,10.9053,10.9100,1.2556,17,17,112,7.9638,8.2300,2.8802,29,29
POST00003449,114,8.8006,9.2450,2.5331,16,16,209,9.3079,9.6700,2.3035,19,19,279,10.8562,10.9800,1.8521,29,29,97,8.2269,8.1400,2.1386,29,29
POST00001392,270,10.1086,10.2900,1.5351,14,14,209,9.3079,9.6700,2.3035,19,19,135,6.7740,6.9300,2.4607,117,117,89,8.0492,8.6700,3.2404,25,25
POST00003866,270,10.1086,10.2900,1.5351,14,14,209,9.3079,9.6700,2.3035,19,19,135,6.7740,6.9300,2.4607,117,117,25,8.4212,9.1600,2.7068,33,33
POST00002176,270,10.1086,10.2900,1.5351,14,14,77,9.4977,9.4600,1.2971,13,13,143,8.0925,8.3200,1.9964,12,12,15,10.0000,10.5700,2.7783,17,17
POST00000768,119,9.5870,10.5400,3.2593,23,23,0,9.8451,10.3900,2.8506,35,35,173,7.0037,7.2500,3.2126,551,551,69,7.8389,8.1200,2.6549,38,38
POST00003815,114,8.8006,9.2450,2.5331,16,16,273,9.0521,9.0050,2.1942,14,14,118,10.9053,10.9100,1.2556,17,17,22,7.7262,7.4700,2.5040,47,47
POST00000833,261,8.8370,9.3150,2.0551,10,10,45,9.0205,9.5600,2.4547,57,57,252,8.7382,9.0900,2.5365,28,28,151,9.3718,10.0100,2.3917,40,40
POST00000698,114,8.8006,9.2450,2.5331,16,16,273,9.0521,9.0050,2.1942,14,14,247,9.3600,9.3600,0.0000,1,1,115,8.5252,8.8500,2.1127,31,31
POST00003134,66,10.7376,11.5500,2.5984,21,21,0,9.8451,10.3900,2.8506,35,35,135,6.7740,6.9300,2.4607,117,117,42,8.3373,9.0400,2.0516,11,11
POST00000905,261,8.8370,9.3150,2.0551,10,10,165,10.9957,11.5700,1.9916,28,28,94,7.1150,7.1150,0.9546,2,2,297,7.8750,7.4800,1.8494,10,10
POST00000752,261,8.8370,9.3150,2.0551,10,10,45,9.0205,9.5600,2.4547,57,57,167,7.8588,8.7300,3.0201,74,74,235,8.8356,10.0300,2.6139,27,27
POST00000911,261,8.8370,9.3150,2.0551,10,10,0,9.8451,10.3900,2.8506,35,35,0,10.5390,10.9900,2.0203,63,63,6,6.1408,5.3050,3.5164,12,12
POST00000903,84,8.6000,9.1200,2.9268,20,20,45,9.0205,9.5600,2.4547,57,57,10,10.9717,11.6950,1.6222,12,12,146,8.7171,9.3300,2.7230,7,7
POST00000791,261,8.8370,9.3150,2.0551,10,10,231,8.1368,9.1100,3.0428,22,22,30,10.7155,10.9000,1.4748,33,33,136,9.3900,9.5800,1.7140,4,4
POST00002887,97,8.3033,8.6000,2.1405,3,3,32,9.9000,9.9000,0.5374,2,2,22,8.9594,9.5200,2.6105,68,68,297,7.8750,7.4800,1.8494,10,10
POST00000842,261,8.8370,9.3150,2.0551,10,10,238,10.1876,10.8400,2.9460,17,17,218,10.2343,9.9950,1.5481,14,14,258,8.9200,10.5750,3.7522,6,6
POST00000808,6,8.5400,8.5400,0.0000,1,1,45,9.0205,9.5600,2.4547,57,57,155,10.0731,10.2800,1.9949,49,49,166,9.3600,9.3600,1.1597,2,2
POST00000904,265,9.1191,8.7100,1.2858,11,11,77,9.4977,9.4600,1.2971,13,13,155,10.0731,10.2800,1.9949,49,49,91,7.4264,8.1500,2.2211,11,11
POST00000806,261,8.8370,9.3150,2.0551,10,10,64,7.2518,7.4900,3.0964,17,17,173,7.0037,7.2500,3.2126,551,551,146,8.7171,9.3300,2.7230,7,7
POST00000769,261,8.8370,9.3150,2.0551,10,10,208,7.5066,7.9400,3.2007,29,29,32,8.5188,8.8200,2.2161,51,51,299,8.1971,9.9000,2.9224,24,24
POST00000897,182,6.2767,6.0300,2.9898,6,6,118,6.6090,6.2950,2.9578,10,10,275,7.4142,7.4800,2.8610,59,59,230,9.5537,9.7100,2.2172,19,19
POST00000834,261,8.8370,9.3150,2.0551,10,10,238,10.1876,10.8400,2.9460,17,17,226,8.9500,9.0850,2.4318,6,6,27,8.1646,8.7200,3.3648,24,24
POST00000596,119,9.5870,10.5400,3.2593,23,23,0,9.8451,10.3900,2.8506,35,35,227,11.0691,11.7600,1.9610,11,11,19,8.5625,8.7900,2.6544,32,32
POST00001037,263,10.6552,10.7000,1.8079,25,25,139,9.0009,9.7300,2.6118,11,11,231,12.1700,12.1700,0.0000,1,1,158,9.0622,8.9600,1.9544,23,23
POST00000812,261,8.8370,9.3150,2.0551,10,10,273,9.0521,9.0050,2.1942,14,14,248,9.5573,9.3000,1.3521,11,11,19,8.5625,8.7900,2.6544,32,32
POST00003506,166,7.7680,8.0200,3.6892,25,25,45,9.0205,9.5600,2.4547,57,57,135,6.7740,6.9300,2.4607,117,117,25,8.4212,9.1600,2.7068,33,33
POST00002371,8,9.7177,10.2400,2.7967,30,30,23,9.8413,10.1400,1.3929,16,16,186,10.1462,10.5900,1.8237,13,13,279,7.5788,7.5600,2.5674,17,17
POST00000419,256,8.9155,9.9400,3.7354,11,11,45,9.0205,9.5600,2.4547,57,57,22,8.9594,9.5200,2.6105,68,68,265,9.3919,9.4200,2.1402,27,27
POST00000474,32,9.0006,9.0500,2.9079,31,31,18,9.6679,10.4250,2.6374,38,38,40,10.7950,10.6000,1.1901,8,8,17,8.9421,9.1200,2.0841,28,28
POST00003933,66,10.7376,11.5500,2.5984,21,21,48,7.3611,8.1150,3.5259,36,36,30,10.7155,10.9000,1.4748,33,33,57,9.7932,10.0500,2.2033,25,25
POST00000266,265,9.1191,8.7100,1.2858,11,11,34,8.8973,8.8500,2.1939,11,11,136,7.2062,7.6200,1.9162,21,21,94,7.4612,7.1900,2.2699,16,16
POST00000045,192,7.0510,7.5250,2.9923,10,10,126,9.0550,8.9600,2.5110,14,14,135,6.7740,6.9300,2.4607,117,117,287,8.4527,8.9350,3.0695,22,22
POST00000050,43,6.8918,6.8300,2.5431,11,11,297,6.6100,6.6100,0.0000,1,1,136,7.2062,7.6200,1.9162,21,21,137,8.8127,10.0400,3.4045,15,15
POST00000961,141,8.1288,9.7300,3.3383,25,25,124,7.0452,6.6700,2.4794,25,25,69,8.9951,9.5900,2.6396,59,59,121,8.9357,9.4300,3.4268,14,14
POST00001731,203,7.2811,6.5900,3.5653,9,9,131,7.5036,7.8800,3.2392,28,28,29,8.3200,8.7350,2.5137,30,30,25,8.4212,9.1600,2.7068,33,33
POST00001380,203,7.2811,6.5900,3.5653,9,9,120,8.0884,8.0400,2.4940,19,19,70,7.8922,8.4500,2.7427,73,73,159,7.7294,8.6500,3.1648,36,36
POST00000229,79,8.8473,10.4450,3.4931,22,22,16,8.2365,10.1500,3.4683,26,26,173,7.0037,7.2500,3.2126,551,551,155,6.6214,7.9600,2.9691,7,7
POST00000855,54,4.5438,4.7650,1.0632,8,8,167,6.6833,6.5500,2.3750,9,9,63,8.2053,8.3000,2.4422,19,19,163,7.7015,8.9600,3.2102,13,13
POST00000077,243,8.8763,10.0500,2.3066,19,19,167,6.6833,6.5500,2.3750,9,9,91,8.6459,9.0900,2.4463,22,22,53,8.8925,9.5300,2.7960,8,8
POST00003590,290,8.5688,9.7200,2.8366,17,17,232,6.7600,6.3250,2.5614,38,38,22,8.9594,9.5200,2.6105,68,68,235,8.8356,10.0300,2.6139,27,27
POST00003879,203,7.2811,6.5900,3.5653,9,9,213,5.5300,5.1600,3.9680,3,3,173,7.0037,7.2500,3.2126,551,551,5,8.3744,9.7250,3.0050,18,18
POST00003280,54,4.5438,4.7650,1.0632,8,8,275,7.1335,7.3700,2.8158,23,23,173,7.0037,7.2500,3.2126,551,551,51,7.7885,8.2650,2.4256,34,34
POST00000218,243,8.8763,10.0500,2.3066,19,19,191,6.4133,6.2100,2.9756,15,15,285,8.6908,9.6850,2.6444,36,36,98,8.6660,9.9750,3.0256,10,10
POST00001963,54,4.5438,4.7650,1.0632,8,8,65,8.3179,8.8350,2.6396,28,28,167,7.8588,8.7300,3.0201,74,74,173,7.3360,7.2400,3.2180,42,42
POST00002691,200,8.9670,9.6700,2.4504,30,30,232,6.7600,6.3250,2.5614,38,38,37,7.9380,8.0250,2.8431,208,208,161,8.0852,7.7500,3.1218,27,27
POST00003437,187,6.2343,5.6700,2.0825,7,7,111,5.2808,5.0100,1.6689,26,26,217,7.6890,8.2900,3.5555,10,10,89,8.0492,8.6700,3.2404,25,25
POST00002761,111,5.5352,5.4500,1.9839,23,23,171,5.5355,5.8900,2.1020,11,11,217,7.6890,8.2900,3.5555,10,10,199,7.1400,6.4900,3.3109,15,15
POST00002223,232,6.7300,6.6900,2.7875,15,15,28,7.3518,8.1600,2.3037,22,22,217,7.6890,8.2900,3.5555,10,10,214,7.4340,8.2050,3.1717,10,10
POST00002849,31,5.5539,5.5600,1.9452,31,31,14,6.1557,5.3500,2.6355,23,23,158,7.9362,8.0950,2.6864,42,42,8,9.3393,9.7100,3.0221,15,15
POST00001099,111,5.5352,5.4500,1.9839,23,23,28,7.3518,8.1600,2.3037,22,22,240,7.4738,7.4900,2.9720,177,177,10,7.4537,8.0750,2.8722,30,30
POST00002375,232,6.7300,6.6900,2.7875,15,15,28,7.3518,8.1600,2.3037,22,22,32,8.5188,8.8200,2.2161,51,51,173,7.3360,7.2400,3.2180,42,42
POST00003510,111,5.5352,5.4500,1.9839,23,23,111,5.2808,5.0100,1.6689,26,26,173,7.0037,7.2500,3.2126,551,551,159,7.7294,8.6500,3.1648,36,36
